surge_mean,sway_mean,VVEL,VDIR,HS1,TP1,DIR1,CVEL0,CDIR0
601.4899820487482,30.609215752305666,5.20,335.0,2.79,10.70,51.0,0.10,84.0
654.1932943649538,29.835693942028982,6.50,341.0,2.67,10.60,74.0,0.05,53.0
293.9689568326746,26.03852259552042,3.20,262.0,1.76,9.30,29.0,0.20,290.0
495.4115839644269,41.36154375494071,4.50,252.0,1.62,9.30,9.0,0.17,327.0
358.95740113965746,18.989933281949934,3.20,331.0,1.62,11.50,30.0,0.26,151.0
311.78463891963105,14.22852008168643,2.70,330.0,1.69,10.60,358.0,0.22,133.0
313.4586750869565,-0.33459965744400527,3.40,238.0,1.64,8.80,348.0,0.51,182.0
548.3549916152832,19.532041036890643,4.90,238.0,1.90,8.50,345.0,0.47,171.0
659.1302496376811,27.822998287220024,7.80,346.0,1.40,5.20,105.0,0.51,225.0
308.72641052173907,19.905454166007907,5.00,342.0,1.49,6.40,360.0,0.71,227.0
655.3259854044796,21.731656667984193,7.30,252.0,1.39,8.50,309.0,0.56,182.0
151.4350950184453,-13.328310449275364,1.30,247.0,1.43,4.50,224.0,0.51,192.0
688.4460543069828,24.765664370223984,8.70,242.0,1.50,5.00,225.0,0.42,195.0
691.0275746534916,26.15787372859025,9.10,295.0,2.86,9.60,305.0,0.42,207.0
699.13923328722,26.77908260342556,9.80,287.0,2.93,10.00,319.0,0.44,220.0
655.263183967062,27.00909522002635,8.10,277.0,2.85,9.80,307.0,0.51,216.0
661.4062867799736,26.062611843214754,8.10,297.0,2.57,9.50,280.0,0.51,211.0
105.95720940447957,-10.976618989459817,0.50,231.0,2.23,7.90,263.0,0.56,211.0
118.7018687654809,-8.097771052700923,1.40,229.0,2.13,7.10,271.0,0.51,213.0
222.49810226350462,2.5762086139657443,3.80,222.0,2.23,7.40,256.0,0.60,210.0
148.55277166798416,-7.459550624505929,2.10,216.0,2.31,7.80,283.0,0.50,206.0
149.70766719631092,-2.9576177457180495,1.70,209.0,2.19,7.30,244.0,0.34,210.0
124.1968592397892,-3.120165786561264,1.80,206.0,2.38,7.80,272.0,0.44,223.0
551.4366128932807,15.59201985375494,4.80,208.0,2.83,6.50,204.0,0.51,163.0
328.86687486166005,4.366969084321475,4.20,337.0,2.49,9.10,35.0,0.59,197.0
426.6024200342556,7.255692743083005,4.30,263.0,2.64,11.10,14.0,0.53,178.0
427.5559049209486,9.026721558629777,4.40,254.0,2.45,10.80,15.0,0.54,182.0
565.4906330144928,18.686989640316202,5.30,249.0,2.40,10.70,352.0,0.48,179.0
467.40802416073785,23.69379322002635,3.90,62.0,1.33,9.80,341.0,0.41,170.0
375.8465642516469,17.290921089591567,3.50,14.0,1.33,8.80,1.0,0.36,177.0
613.0966630026351,25.469385216073782,6.20,329.0,1.18,9.00,336.0,0.44,200.0
186.88505143214758,-7.6535366245059295,1.70,286.0,2.73,10.20,41.0,0.34,180.0
141.86982980105404,-10.462807516469038,1.10,331.0,2.87,11.30,61.0,0.42,195.0
709.9725070737813,22.380755915678527,9.60,221.0,1.57,5.80,265.0,0.59,176.0
711.4840302081686,22.818302424242425,9.60,228.0,1.58,5.50,198.0,0.53,171.0
182.20467150461133,-19.667985811594203,3.40,222.0,2.60,13.50,10.0,0.74,200.0
133.07972939657444,-30.911650733860338,1.20,215.0,2.83,14.00,1.0,0.78,198.0
419.3623902068511,1.0956004848484848,5.40,195.0,2.89,13.70,2.0,0.80,195.0
179.0215934347826,-20.79458704611331,2.20,205.0,2.78,7.80,233.0,0.62,186.0
168.5238511251647,-29.539068770750987,1.20,204.0,2.62,7.80,220.0,0.68,183.0
